Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,-9999
1,Troy Brown,30,WR,3,3,1,-9,0,0,0.0,-9,-9.0,-3.0,0.3,24,18,253,14.1,0,10,54.2,29,6.0,84.3,75.0,10.5,19,12.8,244,0,2,,BrowTr00
2,Antowain Smith,29,RB,3,3,53,204,0,10,45.3,19,3.8,68.0,17.7,2,1,4,4.0,0,0,0.0,4,0.3,1.3,50.0,2.0,54,3.9,208,0,0,,SmitAn00
3,David Patten,27,WR,3,3,1,22,0,1,100.0,22,22.0,7.3,0.3,31,13,154,11.8,2,12,38.7,25,4.3,51.3,41.9,5.0,14,12.6,176,2,0,,PattDa00
4,Jermaine Wiggins,26,TE,3,1,0,0,0,0,,,,0.0,0.0,21,14,89,6.4,0,6,47.6,22,4.7,29.7,66.7,4.2,14,6.4,89,0,0,,WiggJe00
5,J.R. Redmond,24,RB,3,0,7,6,0,0,0.0,7,0.9,2.0,2.3,11,9,69,7.7,0,4,45.5,20,3.0,23.0,81.8,6.3,16,4.7,75,0,0,,RedmJ.00
6,Marc Edwards,27,FB,3,3,3,8,0,1,66.7,3,2.7,2.7,1.0,10,9,62,6.9,0,2,80.0,13,3.0,20.7,90.0,6.2,12,5.8,70,0,0,,EdwaMa00
7,Kevin Faulk,25,RB,2,0,3,14,0,1,33.3,8,4.7,7.0,1.5,6,4,21,5.3,0,0,0.0,8,2.0,10.5,66.7,3.5,7,5.0,35,0,0,,FaulKe00
8,Tom Brady,24,QB,3,3,8,22,1,3,37.5,6,2.8,7.3,2.7,0,0,0,,0,0,,,0.0,0.0,,,8,2.8,22,1,1,SB MVP,BradTo00
9,Charles Johnson,29,WR,1,0,0,0,0,0,,,,0.0,0.0,3,2,22,11.0,0,2,66.7,15,2.0,22.0,66.7,7.3,2,11.0,22,0,0,,JohnCh00
10,Drew Bledsoe,29,QB,1,0,4,1,0,0,25.0,4,0.3,1.0,4.0,0,0,0,,0,0,,,0.0,0.0,,,4,0.3,1,0,0,,BledDr00
11,Fred Coleman,26,WR,2,0,0,0,0,0,,,,0.0,0.0,3,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,,ColeFr00
12,Patrick Pass,24,FB,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,,PassPa00
13,Rod Rutledge,26,TE,1,1,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,,RutlRo00
,Team Totals,,,3,3,80,268,1,16,40.0,22,3.4,89.3,26.7,113,70,674,9.6,2,36,44.2,29,23.3,224.7,61.9,6.0,150,6.3,942,3,3,,-9999
